router,method_path,operation,permission,service_evidence,confirmation,rollback,risk,p4_2c_qa,notes
vkpi_settings.py,POST /settings/providers/{provider}/probe,Provider readiness probe,read + manager,No durable audit found; likely external/API probe only,Recommended for paid providers,N/A,P1,Yes,Can hit provider/API while exposed under read+manager. Keep but label as test/probe and include provider result in UI.
vkpi_settings.py,PATCH /settings/feature-flags,Update feature flags,admin,Service writes vkpi_settings_change_logs via audit.log_settings_change,Recommended for non-display flags,Manual revert by writing old value,P1,Sample,Global behavior control. Audit exists; missing confirmed UI confirmation/rollback UX.
vkpi_settings.py,PATCH /settings/platform-crawl,Update platform crawl settings,admin,Service writes vkpi_settings_change_logs via audit.log_settings_change,Required when enabling crawl or raising limits,Manual revert by writing old value,P0,Yes,"Controls external crawl, budget gates, account/content limits. Audit exists, but blast radius/cost makes this launch-before QA."
vkpi_settings.py,PATCH /settings/budgets,Update budget settings,admin,Service writes vkpi_settings_change_logs via audit.log_settings_change,Required,Manual revert by writing old value,P0,Yes,Global/monthly budget control. Audit exists; needs explicit confirm and visible before/after.
vkpi_settings.py,PATCH /settings/comment-alerts,Update comment alert flags,admin + manager,Service writes vkpi_settings_change_logs when actor exists,Recommended,Manual revert,P1,Sample,Notification/alert behavior changes; lower cost risk than crawl/budget.
vkpi_settings.py,PATCH /settings/preferences,Update user preferences,write,Service writes settings change + business event,Not required,Manual revert,P2,No,Per-staff low-risk preference write with scope guard.
vkpi_settings.py,PATCH /settings/notifications,Update notification settings,write,Service writes settings change + business event,Not required,Manual revert,P2,No,Per-staff notification config; service currently marks delivery disabled in audit metadata.
vkpi_industry_automation.py,POST /industry-data/projects,Create industry data project,write,Service writes business event industry_project_create,Optional,Archive via DELETE project,P2,No,Project create path has audit and bounded side effect.
vkpi_industry_automation.py,DELETE /industry-data/projects/{project_id},Archive industry data project,write + manager,Service writes business event industry_project_archive,Required,"Soft archive: is_active=false, archived_at set",P1,Sample,Reversible in DB but no visible restore endpoint confirmed.
vkpi_industry_automation.py,POST /industry-data/projects/{project_id}/accounts,Add monitored account,write,No explicit business audit in add_account found,Optional,Manual deactivate/edit,P1,Sample,Creates/updates account and can preserve raw_platform_data. Needs audit if used by staff.
vkpi_industry_automation.py,POST /industry-data/projects/{project_id}/accounts/import,Bulk import accounts,write,Per-row add_account has no explicit audit; aggregate audit not found,Required for large imports,Manual cleanup/deactivate,P1,Yes,Bulk write path. Needs count-level audit before broad team use.
vkpi_industry_automation.py,POST /industry-data/projects/{project_id}/apify/import,Import historical Apify dataset,write,Service writes business event industry_apify_import,Required,Manual cleanup; snapshots/posts may need purge,P1,Yes,Bulk historical import writes accounts/snapshots/posts. Audit exists but rollback is not one-click.
vkpi_industry_automation.py,PATCH /industry-data/accounts/{account_id},Update account crawl settings/notes,write,Service writes business event industry_account_update,Required if enabling crawl,Manual revert,P1,Yes,Can set crawl_enabled and queue status. This is the UI close/open crawl path.
vkpi_industry_automation.py,POST /industry-data/accounts/{account_id}/refresh,Refresh account snapshot,write,"Collector updates sync_status, crawl counters, snapshots/posts; no explicit business audit found",Recommended,No automatic rollback; new snapshots/posts persist,P1,Yes,"External API path. Real sample account 743 has crawl_error_count=8, last_successful_at=2026-05-11T06:25:13Z."
vkpi_industry_automation.py,POST /audience-graph/estimate,Estimate audience graph,write + manager,"Current service returns disabled/not_configured, no durable mutation",No,N/A,P2,No,Safe while disabled. Re-evaluate when feature flag is enabled.
vkpi_industry_automation.py,POST /automation/experiments,Create scoring experiment,admin,No explicit audit found; writes vkpi_scoring_experiments,Recommended,Manual status update/delete not confirmed,P1,Sample,Admin-only ML experiment create.
vkpi_industry_automation.py,PATCH /automation/experiments/{experiment_id}/status,Update experiment status,admin,No explicit audit found; writes experiment status,Recommended,Manual status update,P1,Sample,Experiment status can change scoring behavior.
vkpi_industry_automation.py,POST /automation/models/{model_version}/activate,Activate model version,admin,"No explicit audit found; updates all active models to registered, upserts active model",Required,Manual re-activate old model only if known,P0,Yes,Global model switch with broad scoring impact and no explicit audit/rollback record.
vkpi_industry_automation.py,POST /automation/ml/score,Run ML score,write + manager,llm_gateway records vkpi_llm_calls/internal_ml not_configured,No,N/A,P2,No,Currently fallback/not_configured scoring call; cost ledger should be reviewed in P4.6.
vkpi_industry_automation.py,POST /automation/training-data/export,Export training dataset,admin,Writes vkpi_training_exports with status completed; no export audit found,Recommended,File cleanup/manual delete,P1,Sample,Creates export file/record. Treat as sensitive data export path.
vkpi_evidence_assets.py,POST /evidence/uploads,Upload evidence file,write,Router writes filesystem only; no DB metadata/audit found at upload step,Recommended,Manual file delete only,P1,Yes,"File side effect under runtime/uploads, 25MB allow-list. Needs attachment linkage or upload audit for traceability."
vkpi_evidence_assets.py,POST /messages,Create communication message,write,Service writes business event evidence_message_create,No,No delete endpoint confirmed,P2,No,Scoped to project/KOL/staff. Low destructive risk.
vkpi_evidence_assets.py,POST /messages/{message_id}/attachments,Add message attachment,write,Service writes business event evidence_message_attachment_add,No,No delete endpoint confirmed,P2,No,Attachment URL metadata write; upload itself is separate risk.
vkpi_evidence_assets.py,POST /content,Create content post evidence,write,Service writes business event evidence_content_upsert,No,Update/upsert can overwrite by URL,P2,No,Scoped post evidence write.
vkpi_evidence_assets.py,POST /content/{post_id}/assets,Add content asset,write,Service writes business event evidence_content_asset_add,No,No delete endpoint confirmed,P2,No,Media asset metadata write.
vkpi_evidence_assets.py,POST /terms,Upsert project terms,write,Service writes business event evidence_terms_upsert and workflow terms,Recommended,Overwrite with previous value if known,P1,Sample,Business terms can affect deliverables/contract evidence; confirm for major terms edits.
vkpi_evidence_assets.py,POST /deliverables,Add deliverable,write,Service writes business event evidence_deliverable_add,No,Update deliverable,P2,No,Project-scoped deliverable create.
vkpi_evidence_assets.py,PATCH /deliverables/{deliverable_id},Update deliverable,write,Service writes business event evidence_deliverable_update,No,Manual update back,P2,No,Project-scoped update.
vkpi_evidence_assets.py,POST /shipments,Create shipment,write,Service writes business event evidence_shipment_create,Recommended,Manual update status/metadata,P1,Sample,Shipping/cost evidence path. Should be confirmed when cost/tracking is present.
vkpi_evidence_assets.py,PATCH /shipments/{shipment_id},Update shipment,write,Service writes business event evidence_shipment_update,Recommended,Manual update back,P1,Sample,Can update status/cost/received fields.
vkpi_evidence_assets.py,POST /shipments/{shipment_id}/receive,Mark shipment received,write,Delegates update_shipment; writes business event,Required,Manual status update back if allowed,P1,Yes,State transition should have confirm or undo because it changes fulfillment state.
vkpi_operations.py,POST /analytics/compare,Compare products,write,Writes vkpi_analytics_runs status/raw; no explicit business audit found,No,Run history only,P1,Sample,"External/provider analysis run, cost/latency side effect."
vkpi_operations.py,POST /analytics/monitor,Monitor product and create suggestions,write,Writes analytics run + outreach suggestions; no explicit business audit found,Recommended,Disable/delete suggestions manually,P1,Yes,Creates suggestions from provider output. This is Daily Top100 candidate-source root.
vkpi_operations.py,POST /analytics/products,Upsert monitored product,write,No explicit audit found; writes monitored_products,Recommended,Disable product,P1,Sample,Controls products that cron/morning_sync can monitor.
vkpi_operations.py,DELETE /analytics/products/{product_sku},Disable monitored product,write,No explicit audit found; soft disables enabled=false,Recommended,Re-enable by upsert,P1,Sample,Soft delete but no audit found.
vkpi_operations.py,POST /analytics/daily-digest/generate,Generate daily staff digest,write + manager if staff override,Writes digest tables; no explicit business audit found,Recommended,Regenerate/overwrite same date,P1,Yes,Bulk staff assignment write. P3/P4 Daily Top100 correctness depends on this path.
vkpi_operations.py,POST /analytics/suggestions/{suggestion_id}/claim,Claim outreach suggestion,write,Service writes business event outreach_suggestion_claim,Recommended,Manual release claim/rollback not one-click,P1,Sample,Creates/links KOL claim. Needs confirmation in UI for business workflow.
vkpi_operations.py,POST /analytics/suggestions/{suggestion_id}/create-project,Create project from suggestion,write,Writes stage event + business event; may create short link,Required,Project cancel/delete and link cleanup manual,P1,Yes,"Multi-step operation: claim, project, optional Shopify short link."
vkpi_operations.py,POST /analytics/suggestions/{suggestion_id}/dismiss,Dismiss suggestion,write,No explicit audit found; sets dismissed fields,Optional,No restore endpoint confirmed,P2,No,"Low-risk workflow state, but no undo visible."
vkpi_operations.py,POST /channels,Bind employee channel,write,Service writes vkpi_channel_audit action=bind,Recommended,Unbind channel,P1,Sample,Links external channel identity to staff; audit exists.
vkpi_operations.py,DELETE /channels/{channel_id},Unbind employee channel,write,Service writes vkpi_channel_audit action=unbind; soft revoked/deleted_at,Recommended,Re-bind channel,P1,Sample,Identity/channel unlink; scoped access enforced.
vkpi_operations.py,POST /channels/{channel_id}/sync-now,Sync employee channel now,write,Service writes vkpi_channel_audit action=sync_skipped currently,No,N/A,P1,Sample,External sync path; currently mostly not_configured but should stay audited.
vkpi_operations.py,POST /campaigns,Create campaign,write + manager,No explicit audit found; writes vkpi_campaigns,Recommended,Manual archive/delete not confirmed,P1,Sample,Campaign state create without audit.
vkpi_operations.py,POST /campaigns/{campaign_id}/projects,Add project to campaign,write + manager,No explicit audit found; insert-or-ignore bridge table,Recommended,No remove endpoint confirmed,P1,Sample,Can affect reporting grouping; needs audit/remove later.
vkpi_operations.py,POST /budget-pools,Create budget pool,admin,No explicit audit found; writes budget pool,Required,No close/archive endpoint confirmed,P0,Yes,Financial budget object creation with no business audit found.
vkpi_operations.py,POST /budget-pools/{pool_id}/allocate,Allocate budget,admin,No explicit audit found; writes budget allocation,Required,No void/reverse endpoint confirmed,P0,Yes,"Financial allocation. Needs audit, confirmation, and reversal path."
vkpi_operations.py,POST /staff/{staff_id}/offboard/initiate,Initiate offboarding run,admin,Creates vkpi_offboarding_runs pending; no business audit found,Required,Delete/cancel endpoint not confirmed,P0,Yes,Prepares staff offboarding; low direct mutation but sensitive HR/business action.
vkpi_operations.py,POST /offboarding/{run_id}/execute,Execute offboarding,admin,Updates claims/projects/channels; stores result_json; no business audit found,Required double-confirm,Partial rollback manual only,P0,Yes,Highest-risk multi-table mutation. Result log exists but no explicit audit/rollback transaction plan.
vkpi_operations.py,POST /cron/{job_name}/run,Run cron job now,admin,No explicit audit found; cron can run lineage/kpi/alerts/report/monitor/channel sync/morning sync,Required,Job-specific; no generic rollback,P0,Yes,Admin endpoint can trigger broad jobs with provider calls and bulk writes.
